File Type,Content Git Url,Publish Url,Publish State,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Agreements.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/agreements?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Agreements/Get Agreement Document.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/agreements/get agreement document?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Agreements/Get Agreement Metadata List.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/agreements/get agreement metadata list?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Audit Operations.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/audit operations?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Audit Operations/Gets Audit Record by Id.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/audit operations/gets audit record by id?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Audit Operations/Gets Audit Records.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/audit operations/gets audit records?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Authentication.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/authentication?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Authentication/Generate access token.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/authentication/generate access token?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Create a product upgrade entity for a customer.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/create a product upgrade entity for a customer?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get a customer's usage spending budget.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get a customer's usage spending budget?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get a list of Azure entitlements for a subscription.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get a list of azure entitlements for a subscription?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get all Customer usage records for a partner.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get all customer usage records for a partner?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get all subscription usage records for customer.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get all subscription usage records for customer?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get customer usage summary.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get customer usage summary?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get eligibility for product upgrade.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get eligibility for product upgrade?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get meter usage record resources.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get meter usage record resources?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get partner usage summary.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get partner usage summary?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get product upgrade status for a customer from legacy azure subscriptions to azure plans.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get product upgrade status for a customer from legacy azure subscriptions to azure plans?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get resource usage record resources.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get resource usage record resources?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get subscription usage records for a customer.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get subscription usage records for a customer?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get the product upgrade status for a customer.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get the product upgrade status for a customer?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Get usage summary for customer's subscription.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/get usage summary for customer's subscription?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Azure Spending/Set customer usage budget.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/azure spending/set customer usage budget?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Create DeviceBatches.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/create devicebatches?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Create Policies.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/create policies?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Delete DeviceBatches.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/delete devicebatches?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Get BatchJobStatus.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/get batchjobstatus?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Get DeviceBatches.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/get devicebatches?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Get Devices.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/get devices?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Update Device Policy.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/update device policy?branch=main,Unpublished,
Content,https://github.com/MicrosoftDocs/partner-center-rest/blob/main/docs-ref-autogen/partner-center/Device Deployment/Update DeviceBatches.yml,https://review.docs.microsoft.com/en-us/rest/api/partner-center/device deployment/update devicebatches?branch=main,Unpublished,
