File Type,Content Git Url,Published Url
Content,docs-ref-autogen/operationsmanager/Authentication.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/authentication?branch=master
Content,docs-ref-autogen/operationsmanager/Authentication/Login.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/authentication/login?branch=master
Content,docs-ref-autogen/operationsmanager/Authentication/Logout.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/authentication/logout?branch=master
Content,docs-ref-autogen/operationsmanager/Authentication/Retrieve Authentication Mode.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/authentication/retrieve%20authentication%20mode?branch=master
Content,docs-ref-autogen/operationsmanager/Component.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Add Dashboard.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/add%20dashboard?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Add Widget.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/add%20widget?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Delete Dashboard.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/delete%20dashboard?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Delete Widget.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/delete%20widget?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Retrieve Dashboard.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/retrieve%20dashboard?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Retrieve Dashboards For Object.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/retrieve%20dashboards%20for%20object?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Retrieve Widget.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/retrieve%20widget?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Retrieve Widgets.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/retrieve%20widgets?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Retrieve Widgets For Entity.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/retrieve%20widgets%20for%20entity?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Update Dashboard Properties.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/update%20dashboard%20properties?branch=master
Content,docs-ref-autogen/operationsmanager/Component/Update Widget.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/component/update%20widget?branch=master
Content,docs-ref-autogen/operationsmanager/Data.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Alert Count For Entity.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20alert%20count%20for%20entity?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Alert Data.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20alert%20data?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Alert Properties.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20alert%20properties?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Class Information.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20class%20information?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Classes.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20classes?branch=master
